ArrayName,PointA_x,PointA_y,PointA_z,PointB_x,PointB_y,PointB_z,PointC_x,PointC_y,PointC_z,PointD_x,PointD_y,PointD_z
Cap Left,-169,96,31.85,2,96,177.35,-2,25,177.35,-166,4,31.85
Cap Right,2,96,177.35,168,86,31.85,169,11,31.85,-2,25,177.35
NDI 8700449,0,0,0,0,47.38,28.99,0,0,89.1,0,-35.36,35.36
NDI 8700339,0,0,0,0,28.59,41.02,0,0,88,0,-44.32,40.45
NDI 8700340,0,0,0,0,0,50,0,25,100,0,-25,135
Instrument 30 deg - Top,-35,47,-18.15,33,52.93,-21.61,30,0,6,-20,0,6
Instrument 30 deg - Bottom,-20,0,6,30,0,6,35,-53,-21.61,-36,-57,-23.92
Gen 20 deg Array 1 - Top,-20.7,77.7,-23.0804872,41.3,73,-21.3698271,31.3,0,6,-38.1,0,6
Gen 20 deg Array 1 - Bottom,-38.1,0,6,31.3,0,6,49.7,-71,-31.04188663,-39,-57.5,-26.12828847
Test,-48.9,78.1,-23.2260753,21.2,77.2,-22.89850209,26.3,0,6,-24.5,0,6
Gen Two Face Array 1 - Top,-21.4,47.3,-12.01579208,23.2,79.8,-23.84482469,32.4,0,6,-35.6,0,6
Gen Two Face Array 1 - Bottom,-35.6,0,6,32.4,0,6,28.9,-75,-32.49776757,-28.5,-64.3,-28.60328606
Gen Two Face Array 2 - Top,-44.3,77.2,-22.89850209,25.4,54.2,-14.5271867,36.1,0,6,-27.1,0,6
Gen Two Face Array 2 - Bottom,-27.1,0,6,36.1,0,6,48.1,-46.7,-22.19740994,-47.6,-64,-28.49409499
Gen Two Face Array 3 - Top,-41.1,68.3,-19.659167,20.2,62.2,-17.43894857,21,0,6,-31.9,0,6
Gen Two Face Array 3 - Bottom,-31.9,0,6,21,0,6,47.9,-60.9,-27.36578727,-29.7,-77,-33.22570804
Gen Two Face Array 1 - Top,-21.2,47.9,-12.23417422,35.1,71.8,-20.93306282,26.4,0,6,-39.2,0,6
Gen Two Face Array 1 - Bottom,-39.2,0,6,26.4,0,6,35.4,-78.2,-33.66247232,-21.9,-59.8,-26.96542001
Gen Two Face Array 2 - Top,-40.9,68.6,-19.76835807,38.3,64.9,-18.4216682,34.8,0,6,-25.3,0,6
Gen Two Face Array 2 - Bottom,-25.3,0,6,34.8,0,6,28.8,-46.9,-22.27020399,-49.9,-75.9,-32.82534078
Gen Two Face Array 3 - Top,-48.4,60.3,-16.74740513,37.9,67.8,-19.47718188,29.7,0,6,-23.6,0,6
Gen Two Face Array 3 - Bottom,-23.6,0,6,29.7,0,6,32.8,-55.2,-25.29115693,-36.2,-69,-30.31394616
Gen Array 1 - Top,-43.7,36.2,0.0,27.7,62.0,0.0,24.1,-66.3,0.0,-27.1,-69.0,0.0
Gen Array 2 - Top,-42.6,45.7,0.0,41.8,93.2,0.0,21.5,-91.7,0.0,-12.5,-54.3,0.0
Gen Array 1 - Top,-36.1,53.9,0.0,43.3,89.2,0.0,23.4,-49.1,0.0,-31.0,-75.2,0.0
Gen Array 2 - Top,-24.4,68.8,0.0,39.3,61.5,0.0,47.5,-95.7,0.0,-32.7,-55.6,0.0
