ArrayName,PointA_x,PointA_y,PointA_z,PointB_x,PointB_y,PointB_z,PointC_x,PointC_y,PointC_z,PointD_x,PointD_y,PointD_z,Check Status,Failure Reason,Segment AB,Segment AC,Segment AD,Segment BC,Segment BD,Segment CD,Segment Pair AB-AC Data,Segment Pair AB-AD Data,Segment Pair AB-BC Data,Segment Pair AB-BD Data,Segment Pair AB-CD Data,Segment Pair AC-AD Data,Segment Pair AC-BC Data,Segment Pair AC-BD Data,Segment Pair AC-CD Data,Segment Pair AD-BC Data,Segment Pair AD-BD Data,Segment Pair AD-CD Data,Segment Pair BC-BD Data,Segment Pair BC-CD Data,Segment Pair BD-CD Data
Cap Left,-169.0,96.0,31.85,2.0,96.0,177.35,-2.0,25.0,177.35,-166.0,4.0,31.85,True,,224.52449754982194,232.59460440861477,92.04890004774636,71.11258679024411,240.53741912642198,220.24361511744218,"[224.52449754982194, 232.59460440861477, 0.31041676192297546]","[224.52449754982194, 92.04890004774636, 1.5459718767767368]","[224.52449754982194, 71.11258679024411, 1.613649088905334]","[224.52449754982194, 240.53741912642198, 2.7490247238630836]","[224.52449754982194, 220.24361511744218, 3.043889132900677]","[232.59460440861477, 92.04890004774636, 1.2360917336878896]","[232.59460440861477, 71.11258679024411, 1.3032323269823585]","[232.59460440861477, 240.53741912642198, 2.4389080001998917]","[232.59460440861477, 220.24361511744218, 2.7357984024094555]","[92.04890004774636, 71.11258679024411, 0.0888756814067152]","[92.04890004774636, 240.53741912642198, 1.203052847086347]","[92.04890004774636, 220.24361511744218, 1.4997066687215654]","[71.11258679024411, 240.53741912642198, 1.1360751371967308]","[71.11258679024411, 220.24361511744218, 1.4332807500761633]","[240.53741912642198, 220.24361511744218, 0.29720561287943226]"
Cap Right,2.0,96.0,177.35,168.0,86.0,31.85,169.0,11.0,31.85,-2.0,25.0,177.35,True,,220.96662643937884,237.24301886462328,71.11258679024411,75.0066663703967,231.92940736353378,224.9605520974733,"[220.96662643937884, 237.24301886462328, 0.321169434546717]","[220.96662643937884, 71.11258679024411, 1.567868905080429]","[220.96662643937884, 75.0066663703967, 1.5155007664404248]","[220.96662643937884, 231.92940736353378, 2.8299613735159683]","[220.96662643937884, 224.9605520974733, 3.119144327883394]","[237.24301886462328, 71.11258679024411, 1.247049974658395]","[237.24301886462328, 75.0066663703967, 1.1943313318937077]","[237.24301886462328, 231.92940736353378, 2.5089642270655332]","[237.24301886462328, 224.9605520974733, 2.837225509790766]","[71.11258679024411, 75.0066663703967, 0.06961107958290762]","[71.11258679024411, 231.92940736353378, 1.2620924684355392]","[71.11258679024411, 224.9605520974733, 1.5901755351323712]","[75.0066663703967, 231.92940736353378, 1.314793720092515]","[75.0066663703967, 224.9605520974733, 1.6432214381694843]","[231.92940736353378, 224.9605520974733, 0.3284277180769695]"
NDI 8700449,0.0,0.0,0.0,0.0,47.38,28.99,0.0,0.0,89.1,0.0,-35.36,35.36,True,,55.54533733807006,89.1,50.00659156551264,76.53807222552709,82.98484500196408,64.32975361370507,"[55.54533733807006, 89.1, 1.0217007234820923]","[55.54533733807006, 50.00659156551264, 1.8070988868795406]","[55.54533733807006, 76.53807222552709, 1.6892183334643691]","[55.54533733807006, 82.98484500196408, 2.515660463400133]","[55.54533733807006, 64.32975361370507, 2.7018585631546213]","[89.1, 50.00659156551264, 0.7853981633974484]","[89.1, 76.53807222552709, 0.6675176099822772]","[89.1, 82.98484500196408, 1.4939597399180407]","[89.1, 64.32975361370507, 2.559626020542873]","[50.00659156551264, 76.53807222552709, 0.11788055341517228]","[50.00659156551264, 82.98484500196408, 0.7085615765205924]","[50.00659156551264, 64.32975361370507, 1.7742278571454244]","[76.53807222552709, 82.98484500196408, 0.8264421299357637]","[76.53807222552709, 64.32975361370507, 1.8921084105605956]","[82.98484500196408, 64.32975361370507, 1.0656662806248325]"
NDI 8700339,0.0,0.0,0.0,0.0,28.59,41.02,0.0,0.0,88.0,0.0,-44.32,40.45,True,,50.000284999187755,88.0,60.00387404159835,54.995531636670265,72.91222805538176,65.00203766036877,"[50.000284999187755, 88.0, 0.6086942794091724]","[50.000284999187755, 60.00387404159835, 1.439713709179876]","[50.000284999187755, 54.995531636670265, 1.1553818237023321]","[50.000284999187755, 72.91222805538176, 2.18730830456966]","[50.000284999187755, 65.00203766036877, 3.0000326697458255]","[88.0, 60.00387404159835, 0.8310194297707034]","[88.0, 54.995531636670265, 0.5466875442931595]","[88.0, 72.91222805538176, 1.5786140251604872]","[88.0, 65.00203766036877, 2.391338390336653]","[60.00387404159835, 54.995531636670265, 0.28433188547754457]","[60.00387404159835, 72.91222805538176, 0.7475945953897839]","[60.00387404159835, 65.00203766036877, 1.5603189605659493]","[54.995531636670265, 72.91222805538176, 1.0319264808673279]","[54.995531636670265, 65.00203766036877, 1.8446508460434932]","[72.91222805538176, 65.00203766036877, 0.8127243651761654]"
NDI 8700340,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,100.0,0.0,-25.0,135.0,True,,50.0,103.07764064044152,137.2953021774598,55.90169943749474,88.60022573334675,61.032778078668514,"[50.0, 103.07764064044152, 0.24497866312686423]","[50.0, 137.2953021774598, 0.18311081726248352]","[50.0, 55.90169943749474, 0.46364760900080615]","[50.0, 88.60022573334675, 0.2860514417173179]","[50.0, 61.032778078668514, 0.960070362405688]","[103.07764064044152, 137.2953021774598, 0.4280894803893484]","[103.07764064044152, 55.90169943749474, 0.21866894587394162]","[103.07764064044152, 88.60022573334675, 0.5310301048441824]","[103.07764064044152, 61.032778078668514, 1.205049025532552]","[137.2953021774598, 55.90169943749474, 0.6467584262632902]","[137.2953021774598, 88.60022573334675, 0.10294062445483236]","[137.2953021774598, 61.032778078668514, 0.7769595451432039]","[55.90169943749474, 88.60022573334675, 0.7496990507181243]","[55.90169943749474, 61.032778078668514, 1.423717971406494]","[88.60022573334675, 61.032778078668514, 0.6740189206883697]"
Instrument 30 deg - Top,-35.0,47.0,-18.15,33.0,52.93,-21.61,30.0,0.0,6.0,-20.0,0.0,6.0,True,,68.34571310623659,83.7688635472632,54.929249949366685,59.773714959001836,79.8304265302397,50.0,"[68.34571310623659, 83.7688635472632, 0.7830802022793496]","[68.34571310623659, 54.929249949366685, 1.394687722873208]","[68.34571310623659, 59.773714959001836, 1.7215165981940588]","[68.34571310623659, 79.8304265302397, 2.397327278349531]","[68.34571310623659, 50.0, 3.0409688994284902]","[83.7688635472632, 54.929249949366685, 0.6116194612778302]","[83.7688635472632, 59.773714959001836, 0.9384363959147092]","[83.7688635472632, 79.8304265302397, 1.614251798109402]","[83.7688635472632, 50.0, 2.459007557495165]","[54.929249949366685, 59.773714959001836, 0.3268588032325136]","[54.929249949366685, 79.8304265302397, 1.002639555476323]","[54.929249949366685, 50.0, 1.8473880962173346]","[59.773714959001836, 79.8304265302397, 0.6758212493236572]","[59.773714959001836, 50.0, 1.5205859472991616]","[79.8304265302397, 50.0, 0.8447646979755042]"
Instrument 30 deg - Bottom,-20.0,0.0,6.0,30.0,0.0,6.0,35.0,-53.0,-21.61,-36.0,-57.0,-23.92,True,,50.0,81.21768341931454,66.33405158740118,59.96925962524467,92.19656392729613,71.15009557266947,"[50.0, 81.21768341931454, 0.8268560704610461]","[50.0, 66.33405158740118, 1.8144020179650646]","[50.0, 59.96925962524467, 1.48732337415756]","[50.0, 92.19656392729613, 2.3686539241456117]","[50.0, 71.15009557266947, 3.076626437523904]","[81.21768341931454, 66.33405158740118, 0.9875501024817145]","[81.21768341931454, 59.96925962524467, 0.6604673036965139]","[81.21768341931454, 92.19656392729613, 1.5418003499577526]","[81.21768341931454, 71.15009557266947, 2.249828299933835]","[66.33405158740118, 59.96925962524467, 0.32709326286527957]","[66.33405158740118, 92.19656392729613, 0.554251906180547]","[66.33405158740118, 71.15009557266947, 1.2622781974521204]","[59.96925962524467, 92.19656392729613, 0.8813349297077027]","[59.96925962524467, 71.15009557266947, 1.5893641311817486]","[92.19656392729613, 71.15009557266947, 0.7080292014740462]"
Gen 20 deg Array 1 - Top,-20.7,77.7,-23.0804872,41.3,73.0,-21.3698271,31.3,0.0,6.0,-38.1,0.0,6.0,True,,62.20141765247583,97.91304681087891,84.76865420536865,78.60093787916207,111.27653587115253,69.4,"[62.20141765247583, 97.91304681087891, 0.9304238460299363]","[62.20141765247583, 84.76865420536865, 1.6970363727570816]","[62.20141765247583, 78.60093787916207, 1.6178735022836415]","[62.20141765247583, 111.27653587115253, 2.2848372489041866]","[62.20141765247583, 69.4, 3.061095433313518]","[97.91304681087891, 84.76865420536865, 0.766612758202716]","[97.91304681087891, 78.60093787916207, 0.6874496562537052]","[97.91304681087891, 111.27653587115253, 1.3544135281178975]","[97.91304681087891, 69.4, 2.130675075543177]","[84.76865420536865, 78.60093787916207, 0.07916539985634179]","[84.76865420536865, 111.27653587115253, 0.5878008761471049]","[84.76865420536865, 69.4, 1.3640623173404611]","[78.60093787916207, 111.27653587115253, 0.6669639929457004]","[78.60093787916207, 69.4, 1.4432256430725636]","[111.27653587115253, 69.4, 0.7762616501268634]"
Gen 20 deg Array 1 - Bottom,-38.1,0.0,6.0,31.3,0.0,6.0,49.7,-71.0,-31.04188663,-39.0,-57.5,-26.12828847,True,,69.4,118.83577476967858,65.87326407588692,82.16849374979302,96.33569909442467,89.85590379534311,"[69.4, 118.83577476967858, 0.7394567591578938]","[69.4, 65.87326407588692, 1.5844593510122427]","[69.4, 82.16849374979302, 1.3449511949497115]","[69.4, 96.33569909442467, 2.388737731997371]","[69.4, 89.85590379534311, 2.981020882050066]","[118.83577476967858, 65.87326407588692, 0.8453727153166026]","[118.83577476967858, 82.16849374979302, 0.6054944357918178]","[118.83577476967858, 96.33569909442467, 1.6494708916087655]","[118.83577476967858, 89.85590379534311, 2.5610017423626807]","[65.87326407588692, 82.16849374979302, 0.2411904128514074]","[65.87326407588692, 96.33569909442467, 0.8042783809851284]","[65.87326407588692, 89.85590379534311, 1.7156290270460786]","[82.16849374979302, 96.33569909442467, 1.0441033154397383]","[82.16849374979302, 89.85590379534311, 1.955754540055526]","[96.33569909442467, 89.85590379534311, 0.911651224615788]"
Test,-48.9,78.1,-23.2260753,21.2,77.2,-22.89850209,26.3,0.0,6.0,-24.5,0.0,6.0,True,,70.1065425207085,112.28897308926318,86.88574956482374,82.58918466146602,94.25207383949562,50.8,"[70.1065425207085, 112.28897308926318, 0.8233293303988455]","[70.1065425207085, 86.88574956482374, 1.2724776647815632]","[70.1065425207085, 82.58918466146602, 1.4953442382077475]","[70.1065425207085, 94.25207383949562, 2.0633494562754344]","[70.1065425207085, 50.8, 3.1279307362401725]","[112.28897308926318, 86.88574956482374, 0.44914833908009627]","[112.28897308926318, 82.58918466146602, 0.6720149078089019]","[112.28897308926318, 94.25207383949562, 1.240020127864544]","[112.28897308926318, 50.8, 2.3046019679661]","[86.88574956482374, 82.58918466146602, 0.22286658597243578]","[86.88574956482374, 94.25207383949562, 0.7908717914938713]","[86.88574956482374, 50.8, 1.855453628886004]","[82.58918466146602, 94.25207383949562, 0.5680052228196409]","[82.58918466146602, 50.8, 1.6325870666883067]","[94.25207383949562, 50.8, 1.0645818438686656]"
